Numéro station,Nom,Adresse,Latitude,Longitude
1,Jardin Botanique,"Jardin Botanique, Montréal",45.56221,-73.571785
3,Saint-Jean-Baptiste ,"1050 A, St-Jean-Baptiste",45.641026,-73.499682
6,Anjou,7650 rue Châteauneuf,45.602846,-73.558874
7,Chénier,Aréna Chénier (coin Chénier et Avenue de l'Aréna),45.60176,-73.541992
12,Ontario,1125 Ontario,45.52055,-73.563222
13,Drummond,1212 Drummond,45.497859,-73.573035
17,Caserne 17,4240 rue Charleroi,45.593325,-73.637328
28,Échangeur Décarie,2495 Duncan,45.502648,-73.663913
29,Parc Pilon,"11280 Pie IX, (Parc Pilon)",45.594576,-73.641535
43,Saint-Michel,8110 Boul. St-Michel,45.563697,-73.610447
49,Dorval,55 ave. Lilas,45.439119,-73.7333
50,Hochelaga-Maisonneuve,"3250, Ste-Catherine Est",45.539928,-73.540388
55,Rivière-des-Prairies,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896
59,Rivière-des-Prairies,12145 boul. Rivière-des-Prairies,45.652701,-73.562951
61,"Maisonneuve, Ville-Marie",1001 de Maisonneuve Ouest,45.501531,-73.574311
66,Aéroport de Montréal Dorval,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185
68,Verdun,3161 Joseph,45.472854,-73.57296
80,Saint-Joseph (Rosemont-La Petite-Patrie),2580 Saint-Joseph est,45.542767,-73.572039
99,Sainte-Anne-de-Bellevue,"20965, Ch. Ste-Marie",45.426509,-73.928944
